"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","gene_symbols"
"hsa05135","Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","5/67","138/9422",0.036231884057971,5.09517629245079,4.10117769761723,0.00292441634441203,0.0163445043490735,0.0115722367885044,"6714/6347/3586/3576/3456",5,"SRC/CCL2/IL10/CXCL8/IFNB1"
"hsa05219","Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","3/67","41/9422",0.0731707317073171,10.2897706589006,5.0447117974322,0.00302059730064366,0.0163445043490735,0.0115722367885044,"6714/7422/3576",3,"SRC/VEGFA/CXCL8"
"hsa00380","Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","3/67","42/9422",0.0714285714285714,10.044776119403,4.9714726530848,0.00323654141010501,0.0163445043490735,0.0115722367885044,"8942/259307/8564",3,"KYNU/IL4I1/KMO"
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","6/67","205/9422",0.0292682926829268,4.11590826356025,3.81707600028368,0.00326457516575513,0.0163445043490735,0.0115722367885044,"3627/9636/3665/958/4939/3456",6,"CXCL10/ISG15/IRF7/CD40/OAS2/IFNB1"
"hsa04380","Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","5/67","142/9422",0.0352112676056338,4.9516501997057,4.01525087357123,0.00330781635636011,0.0163445043490735,0.0115722367885044,"3690/653361/9021/3554/3456",5,"ITGB3/NCF1/SOCS3/IL1R1/IFNB1"
"hsa04936","Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","5/67","144/9422",0.0347222222222222,4.88287728026534,3.97348642848883,0.00351254953563733,0.0168602377710592,0.01193738639179,"2919/2921/3576/2920/3456",5,"CXCL1/CXCL3/CXCL8/CXCL2/IFNB1"
"hsa04518","Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","5/67","154/9422",0.0324675324675325,4.56580732700136,3.77562826138892,0.00467529775023958,0.0218180561677847,0.0154476212215518,"6714/3690/7412/4233/7422",5,"SRC/ITGB3/VCAM1/MET/VEGFA"
"hsa04672","Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","3/67","50/9422",0.06,8.43761194029851,4.46237829685707,0.00530697250582929,0.0240965238102519,0.0170608219959804,"958/3586/941",3,"CD40/IL10/CD80"
"hsa04933","Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","4/67","101/9422",0.0396039603960396,5.56938081867888,3.90706642212571,0.00568778604693424,0.0251460014706567,0.0178038732217055,"6347/7412/7422/3576",4,"CCL2/VCAM1/VEGFA/CXCL8"
"hsa04625","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","4/67","105/9422",0.0380952380952381,5.35721393034826,3.79952662850832,0.0065198907296824,0.0275848345727473,0.019530615956895,"6714/1960/602/3586",4,"SRC/EGR3/BCL3/IL10"
"hsa05320","Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","3/67","54/9422",0.0555555555555556,7.81260364842454,4.24864621621074,0.00658192891640876,0.0275848345727473,0.019530615956895,"958/3586/941",3,"CD40/IL10/CD80"
"hsa04630","Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","5/67","168/9422",0.0297619047619048,4.18532338308458,3.52539212726432,0.00673201319930142,0.0275848345727473,0.019530615956895,"1440/6775/9021/3586/3456",5,"CSF3/STAT4/SOCS3/IL10/IFNB1"
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","7/67","333/9422",0.021021021021021,2.95612029940388,3.07555595189455,0.00912583885867783,0.0365033554347113,0.0258451075446264,"8638/9636/3690/4600/57801/7422/3456",7,"OASL/ISG15/ITGB3/MX2/HES4/VEGFA/IFNB1"
