ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_symbols
GO:0019730,antimicrobial humoral response,Dec-97,189/18842,0.063492063,12.33316969,11.26427042,2.48E-10,2.10E-08,1.53E-08,6373/3627/2919/6351/10563/6364/6355/6347/6349/2921/3576/2920,12,CXCL11/CXCL10/CXCL1/CCL4/CXCL13/CCL20/CCL8/CCL2/CCL3L1/CXCL3/CXCL8/CXCL2
GO:1903900,regulation of viral life cycle,Oct-97,110/18842,0.090909091,17.65885661,12.60505014,2.50E-10,2.10E-08,1.53E-08,8638/9636/9235/3669/64135/24138/4939/3576/3434/3456,10,OASL/ISG15/IL32/ISG20/IFIH1/IFIT5/OAS2/CXCL8/IFIT1/IFNB1
GO:0097529,myeloid leukocyte migration,Dec-97,207/18842,0.057971014,11.26072016,10.67808655,7.07E-10,5.71E-08,4.16E-08,3627/1236/6351/10563/6355/6347/5142/2921/1843/7130/7422/3576,12,CXCL10/CCR7/CCL4/CXCL13/CCL8/CCL2/PDE4B/CXCL3/DUSP1/TNFAIP6/VEGFA/CXCL8
GO:0002685,regulation of leukocyte migration,Dec-97,210/18842,0.057142857,11.09985272,10.58741825,8.33E-10,6.50E-08,4.73E-08,3627/3690/1236/6351/10563/6364/6355/6347/1843/7130/7422/3576,12,CXCL10/ITGB3/CCR7/CCL4/CXCL13/CCL20/CCL8/CCL2/DUSP1/TNFAIP6/VEGFA/CXCL8
GO:0070098,chemokine-mediated signaling pathway,Sep-97,95/18842,0.094736842,18.40238741,12.23206739,1.42E-09,1.07E-07,7.79E-08,6373/3627/1236/6351/10563/6355/57007/6347/6349,9,CXCL11/CXCL10/CCR7/CCL4/CXCL13/CCL8/ACKR3/CCL2/CCL3L1
GO:0050792,regulation of viral process,Oct-97,136/18842,0.073529412,14.28289873,11.18322262,2.03E-09,1.48E-07,1.08E-07,8638/9636/9235/3669/64135/24138/4939/3576/3434/3456,10,OASL/ISG15/IL32/ISG20/IFIH1/IFIT5/OAS2/CXCL8/IFIT1/IFNB1
GO:0002687,positive regulation of leukocyte migration,Oct-97,139/18842,0.071942446,13.97463473,11.04439734,2.51E-09,1.77E-07,1.29E-07,3627/3690/1236/6351/10563/6364/6355/6347/7422/3576,10,CXCL10/ITGB3/CCR7/CCL4/CXCL13/CCL20/CCL8/CCL2/VEGFA/CXCL8
GO:0140374,antiviral innate immune response,Aug-97,73/18842,0.109589041,21.28738879,12.49286752,3.76E-09,2.56E-07,1.87E-07,3627/8638/64135/24138/4939/3433/3437/3434,8,CXCL10/OASL/IFIH1/IFIT5/OAS2/IFIT2/IFIT3/IFIT1
GO:0031640,killing of cells of another organism,Sep-97,111/18842,0.081081081,15.74979103,11.21145542,5.71E-09,3.66E-07,2.67E-07,6373/3627/2919/10563/6364/6355/2921/3576/2920,9,CXCL11/CXCL10/CXCL1/CXCL13/CCL20/CCL8/CXCL3/CXCL8/CXCL2
GO:0141061,disruption of cell in another organism,Sep-97,111/18842,0.081081081,15.74979103,11.21145542,5.71E-09,3.66E-07,2.67E-07,6373/3627/2919/10563/6364/6355/2921/3576/2920,9,CXCL11/CXCL10/CXCL1/CXCL13/CCL20/CCL8/CXCL3/CXCL8/CXCL2
